Short Name,Playing role,Major teams,Current age,Batting style,Fielding position,Height,Born,Relation,Education,Nickname,Full name,current_team,bowl_arm,bowl_style
RG Sharma,Middle-order batsman,"India,",29 years 184 days,Right-hand bat,,,"April 30, 1987, Bansod, Nagpur, Maharashtra ",,,,Rohit Gurunath Sharma,Mumbai Indians,Right-arm,offbreak
SB Styris,Allrounder,"New Zealand,",41 years 113 days,Right-hand bat,,5 ft 10 in,"July 10, 1975, Brisbane, Queensland, Australia ",,Hamilton Boys High School,"Miley, The Rus",Scott Bernard Styris,Chennai Super Kings,Right-arm,medium
AS Yadav,Batsman,"Deccan Chargers,",34 years 313 days,Right-hand bat,,,"December 23, 1981, Palghat (now Palakkad), Kerala ",Father - NS Yadav,,,Arjun Shivlal Yadav,Deccan Chargers,Right-arm,offbreak
SB Bangar,,"India,",44 years 20 days,Right-hand bat,,,"October 11, 1972, Bid, Maharashtra ",,,,Sanjay Bapusaheb Bangar,Kolkata Knight Riders,Right-arm,medium-fast
WPUJC Vaas,,"Sri Lanka,",42 years 278 days,Left-hand bat,,,"January 27, 1974, Mattumagala ",,St. Joseph's Town Maradana,,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Deccan Chargers,Left-arm,fast-medium
RP Singh,Bowler,"India,",30 years 330 days,Right-hand bat,,,"December 6, 1985, Rae Bareli, Uttar Pradesh ",,,,Rudra Pratap Singh,Mumbai Indians,Left-arm,fast-medium
PP Ojha,Bowler,"India,",30 years 56 days,Left-hand bat,,,"September 5, 1986, Bhubaneswar, Orissa ",,,,Pragyan Prayash Ojha,Mumbai Indians,Left-arm,slow
WP Saha,Wicketkeeper batsman,"India,",32 years 7 days,Right-hand bat,,,"October 24, 1984, Shaktigarh ",,,,Wriddhiman Prasanta Saha,Kings XI Punjab,Right-arm,
M Kartik,Bowler,"India,",40 years 50 days,Left-hand bat,,6 ft 0 in,"September 11, 1976, Madras (now Chennai), Tamil Nad",,,,Murali Kartik,Royal Challengers Bangalore,Left-arm,slow
DPMD Jayawardene,Batsman,"Sri Lanka,",39 years 157 days,Right-hand bat,,,"May 27, 1977, Colombo ",,,,Denagamage Proboth Mahela de Silva Jayawardene,Delhi Daredevils,Right-arm,medium
