op_player1,op_player2,op_team,op_partnership,op_winner,op_looser
BB McCullum,DR Smith,Chennai Super Kings,82,Chennai Super Kings,Delhi Daredevils
GC Smith,SA Asnodkar,Rajasthan Royals,109,Rajasthan Royals,Royal Challengers Bangalore
J Arunkumar,V Kohli,Royal Challengers Bangalore,0,Rajasthan Royals,Royal Challengers Bangalore
AC Gilchrist,HH Gibbs,Deccan Chargers,79,Kings XI Punjab,Deccan Chargers
KC Sangakkara,SE Marsh,Kings XI Punjab,84,Kings XI Punjab,Deccan Chargers
AJ Finch,S Dhawan,Sunrisers Hyderabad,56,Sunrisers Hyderabad,Delhi Daredevils
M Vijay,Q de Kock,Delhi Daredevils,99,Sunrisers Hyderabad,Delhi Daredevils
G Gambhir,MS Bisla,Kolkata Knight Riders,45,Kolkata Knight Riders,Pune Warriors
AJ Finch,RV Uthappa,Pune Warriors,20,Kolkata Knight Riders,Pune Warriors
S Vidyut,SP Fleming,Chennai Super Kings,10,Chennai Super Kings,Kings XI Punjab
JR Hopes,SE Marsh,Kings XI Punjab,16,Chennai Super Kings,Kings XI Punjab
B Chipli,JH Kallis,Royal Challengers Bangalore,31,Delhi Daredevils,Royal Challengers Bangalore
G Gambhir,V Sehwag,Delhi Daredevils,90,Delhi Daredevils,Royal Challengers Bangalore
M Vijay,ML Hayden,Chennai Super Kings,61,Chennai Super Kings,Deccan Chargers
AC Gilchrist,HH Gibbs,Deccan Chargers,0,Chennai Super Kings,Deccan Chargers
MA Agarwal,Q de Kock,Delhi Daredevils,24,Kolkata Knight Riders,Delhi Daredevils
G Gambhir,RV Uthappa,Kolkata Knight Riders,69,Kolkata Knight Riders,Delhi Daredevils
NV Ojha,RJ Quiney,Rajasthan Royals,22,Kolkata Knight Riders,Rajasthan Royals
BB McCullum,SC Ganguly,Kolkata Knight Riders,9,Kolkata Knight Riders,Rajasthan Royals
AM Rahane,UT Khawaja,Rising Pune Supergiants,26,Royal Challengers Bangalore,Rising Pune Supergiants
KL Rahul,V Kohli,Royal Challengers Bangalore,94,Royal Challengers Bangalore,Rising Pune Supergiants
BB McCullum,DR Smith,Chennai Super Kings,0,Kolkata Knight Riders,Chennai Super Kings
G Gambhir,RV Uthappa,Kolkata Knight Riders,33,Kolkata Knight Riders,Chennai Super Kings
AC Gilchrist,Mandeep Singh,Kings XI Punjab,5,Delhi Daredevils,Kings XI Punjab
DA Warner,UBT Chand,Delhi Daredevils,82,Delhi Daredevils,Kings XI Punjab
AC Gilchrist,PC Valthaty,Kings XI Punjab,67,Kings XI Punjab,Rajasthan Royals
R Dravid,SA Asnodkar,Rajasthan Royals,12,Kings XI Punjab,Rajasthan Royals
KL Rahul,V Kohli,Royal Challengers Bangalore,63,Royal Challengers Bangalore,Kings XI Punjab
HM Amla,M Vijay,Kings XI Punjab,45,Royal Challengers Bangalore,Kings XI Punjab
M Vijay,MEK Hussey,Chennai Super Kings,7,Royal Challengers Bangalore,Chennai Super Kings
AB de Villiers,CH Gayle,Royal Challengers Bangalore,0,Royal Challengers Bangalore,Chennai Super Kings
BB McCullum,DR Smith,Chennai Super Kings,44,Mumbai Indians,Chennai Super Kings
LMP Simmons,PA Patel,Mumbai Indians,84,Mumbai Indians,Chennai Super Kings
BB McCullum,DR Smith,Gujarat Lions,17,Delhi Daredevils,Gujarat Lions
Q de Kock,RR Pant,Delhi Daredevils,115,Delhi Daredevils,Gujarat Lions
DJ Jacobs,RE Levi,Mumbai Indians,2,Delhi Daredevils,Mumbai Indians
NV Ojha,V Sehwag,Delhi Daredevils,34,Delhi Daredevils,Mumbai Indians
G Gambhir,RV Uthappa,Kolkata Knight Riders,69,Mumbai Indians,Kolkata Knight Riders
PA Patel,RG Sharma,Mumbai Indians,8,Mumbai Indians,Kolkata Knight Riders
AC Gilchrist,HH Gibbs,Deccan Chargers,1,Deccan Chargers,Royal Challengers Bangalore
JH Kallis,MK Pandey,Royal Challengers Bangalore,0,Deccan Chargers,Royal Challengers Bangalore
CH Gayle,PA Patel,Royal Challengers Bangalore,21,Kings XI Punjab,Royal Challengers Bangalore
CA Pujara,V Sehwag,Kings XI Punjab,22,Kings XI Punjab,Royal Challengers Bangalore
PA Patel,S Dhawan,Sunrisers Hyderabad,2,Rajasthan Royals,Sunrisers Hyderabad
AM Rahane,R Dravid,Rajasthan Royals,13,Rajasthan Royals,Sunrisers Hyderabad
S Dhawan,S Sohal,Deccan Chargers,20,Deccan Chargers,Royal Challengers Bangalore
MA Agarwal,TM Dilshan,Royal Challengers Bangalore,8,Deccan Chargers,Royal Challengers Bangalore
S Dhawan,SR Tendulkar,Mumbai Indians,7,Kings XI Punjab,Mumbai Indians
AB Barath,DPMD Jayawardene,Kings XI Punjab,41,Kings XI Punjab,Mumbai Indians
K Goel,RS Bopara,Kings XI Punjab,67,Delhi Daredevils,Kings XI Punjab
G Gambhir,V Sehwag,Delhi Daredevils,58,Delhi Daredevils,Kings XI Punjab
