op_partner_name,team,partnership,winner,loser
M Vijay-Q de Kock,team_Delhi Daredevils,99,winner_Sunrisers Hyderabad,loser_Delhi Daredevils
G Gambhir-MS Bisla,team_Kolkata Knight Riders,45,winner_Kolkata Knight Riders,loser_Pune Warriors
AJ Finch-RV Uthappa,team_Pune Warriors,20,winner_Kolkata Knight Riders,loser_Pune Warriors
S Vidyut-SP Fleming,team_Chennai Super Kings,10,winner_Chennai Super Kings,loser_Kings XI Punjab
JR Hopes-SE Marsh,team_Kings XI Punjab,16,winner_Chennai Super Kings,loser_Kings XI Punjab
B Chipli-JH Kallis,team_Royal Challengers Bangalore,31,winner_Delhi Daredevils,loser_Royal Challengers Bangalore
G Gambhir-V Sehwag,team_Delhi Daredevils,90,winner_Delhi Daredevils,loser_Royal Challengers Bangalore
M Vijay-ML Hayden,team_Chennai Super Kings,61,winner_Chennai Super Kings,loser_Deccan Chargers
AC Gilchrist-HH Gibbs,team_Deccan Chargers,0,winner_Chennai Super Kings,loser_Deccan Chargers
MA Agarwal-Q de Kock,team_Delhi Daredevils,24,winner_Kolkata Knight Riders,loser_Delhi Daredevils
