player1,player2,team,partnership
MEK Hussey,M Vijay,Chennai Super Kings,159
CH Gayle,MA Agarwal,Royal Challengers Bangalore,1
MS Bisla,G Gambhir,Kolkata Knight Riders,59
PA Patel,CL White,Sunrisers Hyderabad,57
V Sehwag,M Vohra,Kings XI Punjab,1
SS Iyer,MA Agarwal,Delhi Daredevils,106
AC Gilchrist,Y Venugopal Rao,Deccan Chargers,9
G Gambhir,V Sehwag,Delhi Daredevils,31
G Gambhir,RV Uthappa,Kolkata Knight Riders,57
DA Warner,S Dhawan,Sunrisers Hyderabad,5
M Vijay,MEK Hussey,Chennai Super Kings,17
Mandeep Singh,AC Gilchrist,Kings XI Punjab,51
MK Pandey,RV Uthappa,Pune Warriors,1
AC Gilchrist,Mandeep Singh,Kings XI Punjab,21
CH Gayle,CA Pujara,Royal Challengers Bangalore,6
DPMD Jayawardene,V Sehwag,Delhi Daredevils,25
CH Gayle,PA Patel,Royal Challengers Bangalore,33
M Vijay,Q de Kock,Delhi Daredevils,2
G Gambhir,BB McCullum,Kolkata Knight Riders,21
RV Uthappa,JD Ryder,Pune Warriors,11
M Vijay,F du Plessis,Chennai Super Kings,2
DJ Harris,S Dhawan,Deccan Chargers,32
R Dravid,AM Rahane,Rajasthan Royals,6
M Vijay,MEK Hussey,Chennai Super Kings,1
JD Ryder,MK Pandey,Pune Warriors,9
SP Goswami,G Gambhir,Kolkata Knight Riders,7
SC Ganguly,BB McCullum,Kolkata Knight Riders,5
AM Rahane,ST Jayasuriya,Mumbai Indians,16
S Dhawan,DA Warner,Sunrisers Hyderabad,29
SS Iyer,Q de Kock,Delhi Daredevils,13
PA Patel,ML Hayden,Chennai Super Kings,106
P Kumar,RV Uthappa,Royal Challengers Bangalore,0
AC Gilchrist,HH Gibbs,Deccan Chargers,31
S Sohal,SM Katich,Kings XI Punjab,41
