Name,Runs,Wickets,Balls,Strike_rate,Avg,zeroes,ones,twos,threes,fours,sixes,batting_style
KS Williamson,155,7,155,100,22.1428571429,49,78,4,1,15,1,Right-hand bat
GB Hogg,22,2,22,100,11,3,14,2,0,1,0,Left-hand bat
DT Patil,13,1,13,100,13,4,5,2,0,1,0,Right-hand bat
SJ Srivastava,5,1,5,100,5,0,3,1,0,0,0,Right-hand bat
Mashrafe Mortaza,2,0,2,100,2,1,0,1,0,0,0,Right-hand bat
VS Yeligati,2,1,2,100,2,0,0,1,0,0,0,Right-hand bat
RG More,2,0,2,100,2,0,2,0,0,0,0,Right-hand bat
NJ Rimmington,1,0,1,100,1,0,1,0,0,0,0,Right-hand bat
VS Malik,7,1,7,100,7,2,3,0,0,1,0,Right-hand bat
DP Vijaykumar,1,0,1,100,1,0,1,0,0,0,0,Right-hand bat
BB Sran,4,0,4,100,4,0,4,0,0,0,0,Left-hand bat
AD Mascarenhas,78,10,79,98.7341772152,7.8,20,34,9,0,5,1,Right-hand bat
AA Jhunjhunwala,215,14,218,98.623853211,15.3571428571,86,80,13,1,19,5,Right-hand bat
PA Reddy,164,10,167,98.2035928144,16.4,62,65,12,1,15,2,Right-hand bat
RJ Quiney,103,7,105,98.0952380952,14.7142857143,50,30,2,1,12,3,Left-hand bat
B Kumar,153,17,156,98.0769230769,9,59,49,13,0,15,3,Right-hand bat
R Rampaul,51,5,52,98.0769230769,10.2,21,15,6,0,3,2,Left-hand bat
MA Starc,96,6,98,97.9591836735,16,35,38,9,0,10,0,Left-hand bat
Ankit Sharma,48,6,49,97.9591836735,8,19,14,4,0,5,1,Left-hand bat
N Saini,140,11,143,97.9020979021,12.7272727273,57,43,15,1,16,0,Right-hand bat
SB Styris,131,7,134,97.7611940299,18.7142857143,46,63,5,0,10,3,Right-hand bat
AB Barath,42,2,43,97.6744186047,21,20,14,1,0,5,1,Right-hand bat
NK Patel,121,5,124,97.5806451613,24.2,56,38,9,1,14,1,Left-hand bat
MM Patel,39,4,40,97.5,9.75,13,17,1,0,5,0,Right-hand bat
RJ Peterson,31,3,32,96.875,10.3333333333,13,11,1,0,3,1,Left-hand bat
CA Pujara,390,18,403,96.7741935484,21.6666666667,182,133,15,1,50,4,Right-hand bat
C Munro,30,1,31,96.7741935484,30,12,12,3,0,3,0,Left-hand bat
JDP Oram,106,8,110,96.3636363636,13.25,42,46,3,0,6,5,Left-hand bat
J Arunkumar,23,3,24,95.8333333333,7.6666666667,13,3,0,0,5,0,Right-hand bat
UBT Chand,300,20,314,95.5414012739,15,150,88,15,0,32,9,Right-hand bat
NJ Maddinson,20,3,21,95.2380952381,6.6666666667,12,1,0,1,4,0,Left-hand bat
NM Coulter-Nile,38,4,40,95,9.5,18,12,1,0,3,2,Right-hand bat
PR Shah,92,8,97,94.8453608247,11.5,42,28,8,0,9,2,Right-hand bat
DS Lehmann,18,2,19,94.7368421053,9,8,6,0,0,3,0,Left-hand bat
GR Napier,15,1,16,93.75,15,6,5,3,0,1,0,Right-hand bat
M Klinger,73,4,78,93.5897435897,18.25,32,30,2,1,9,0,Right-hand bat
RR Sarwan,73,3,78,93.5897435897,24.3333333333,31,31,6,0,6,1,Right-hand bat
VR Aaron,42,2,45,93.3333333333,21,20,16,3,0,2,2,Right-hand bat
MC Juneja,125,7,134,93.2835820896,17.8571428571,47,61,7,0,11,1,Right-hand bat
R Ashwin,229,20,246,93.0894308943,11.45,87,101,14,0,22,2,Right-hand bat
MG Johnson,130,14,140,92.8571428571,9.2857142857,58,44,11,0,7,6,Left-hand bat
KB Arun Karthik,49,5,53,92.4528301887,9.8,20,20,2,1,4,1,Right-hand bat
RV Gomez,49,7,53,92.4528301887,7,21,15,4,0,5,1,Right-hand bat
SP Goswami,240,15,260,92.3076923077,16,110,91,15,1,26,2,Left-hand bat
