Batsman,Bowler,Zero,One,Two,Three,Four,Five,Six,Wicket,Total,batting_style,bowling_arm,bowling_style,Bowls played,Strike Rate,Average
V Sehwag,A Mishra,4,12,2,0,4,0,3,1,50,Right-hand bat,Right-arm,legbreak,26,192.3076923,50
V Sehwag,RA Jadeja,7,9,0,0,4,0,5,0,55,Right-hand bat,Left-arm,slow,25,220,55
V Sehwag,Harmeet Singh,10,3,0,0,1,0,1,2,13,Right-hand bat,Right-arm,medium,17,76.47058824,6.5
V Sehwag,DT Christian,3,7,1,0,5,0,0,0,29,Right-hand bat,Right-arm,fast-medium,16,181.25,29
V Sehwag,JP Faulkner,1,0,0,0,3,0,0,2,12,Right-hand bat,Left-arm,fast-medium,6,200,6
V Sehwag,A Mithun,0,0,0,0,0,0,1,1,6,Right-hand bat,Right-arm,medium,2,300,6
V Sehwag,Shahid Afridi,0,3,1,0,0,0,1,0,11,Right-hand bat,Right-arm,legbreak,5,220,11
V Sehwag,JP Duminy,2,2,0,0,0,0,2,2,14,Right-hand bat,Right-arm,offbreak,8,175,7
V Sehwag,DJ Hussey,0,0,0,0,0,0,3,1,18,Right-hand bat,Right-arm,offbreak,4,450,18
V Sehwag,SC Ganguly,1,7,1,0,2,0,1,0,23,Right-hand bat,Right-arm,medium,12,191.6666667,23
V Sehwag,DW Steyn,18,11,1,0,5,0,0,2,33,Right-hand bat,Right-arm,fast,37,89.18918919,16.5
V Sehwag,SM Pollock,1,1,0,0,3,0,2,0,25,Right-hand bat,Right-arm,fast-medium,7,357.1428571,25
V Sehwag,Sohail Tanvir,0,3,0,0,0,0,0,0,3,Right-hand bat,Left-arm,medium-fast,3,100,3
V Sehwag,M Kartik,2,9,0,0,3,0,1,1,27,Right-hand bat,Left-arm,slow,16,168.75,27
V Sehwag,VRV Singh,3,4,0,0,1,0,2,0,20,Right-hand bat,Right-arm,medium-fast,10,200,20
V Sehwag,P Suyal,4,2,0,0,2,0,0,0,10,Right-hand bat,Left-arm,medium,8,125,10
V Sehwag,CJ McKay,1,6,0,0,1,0,0,0,10,Right-hand bat,Right-arm,fast-medium,8,125,10
V Sehwag,CRD Fernando,4,1,0,0,2,0,0,0,9,Right-hand bat,Right-arm,fast-medium,7,128.5714286,9
V Sehwag,SB Bangar,2,2,0,0,3,0,2,0,26,Right-hand bat,Right-arm,medium-fast,9,288.8888889,26
V Sehwag,AD Mascarenhas,10,7,2,0,6,0,2,1,47,Right-hand bat,Right-arm,fast-medium,28,167.8571429,47
V Sehwag,AB Agarkar,5,1,0,0,2,0,1,1,15,Right-hand bat,Right-arm,fast,10,150,15
V Sehwag,K Santokie,2,1,0,0,0,0,1,0,7,Right-hand bat,Left-arm,medium,4,175,7
V Sehwag,SB Wagh,1,2,0,0,3,0,0,0,14,Right-hand bat,Left-arm,medium-fast,6,233.3333333,14
V Sehwag,IK Pathan,8,2,0,0,4,0,1,2,24,Right-hand bat,Left-arm,medium-fast,17,141.1764706,12
V Sehwag,M Morkel,16,6,1,0,4,0,0,1,24,Right-hand bat,Right-arm,fast,28,85.71428571,24
V Sehwag,ST Jayasuriya,3,5,1,0,1,0,3,0,29,Right-hand bat,Left-arm,slow,13,223.0769231,29
V Sehwag,A Nehra,11,11,1,0,10,0,2,3,65,Right-hand bat,Left-arm,medium-fast,38,171.0526316,21.66666667
V Sehwag,LJ Wright,1,5,1,0,2,0,3,0,33,Right-hand bat,Right-arm,medium-fast,12,275,33
V Sehwag,Harbhajan Singh,7,21,4,0,5,0,1,2,55,Right-hand bat,Right-arm,offbreak,40,137.5,27.5
V Sehwag,KK Cooper,1,0,0,0,0,0,1,0,6,Right-hand bat,Right-arm,medium,2,300,6
V Sehwag,PP Chawla,6,15,2,0,7,0,2,2,59,Right-hand bat,Left-arm,legbreak,34,173.5294118,29.5
V Sehwag,Shoaib Akhtar,1,0,0,0,0,0,0,1,0,Right-hand bat,Right-arm,fast,2,0,0
V Sehwag,S Dhawan,0,0,0,0,1,0,0,1,4,Right-hand bat,Right-arm,offbreak,2,200,4
