Name,Runs,Wickets,Balls,Strike_rate,Avg,batting_style
M Klinger,73,4,78,93.58974358974359,18.25,Right-hand bat
UA Birla,7,1,15,46.666666666666664,7.0,Right-hand bat
F Behardien,14,2,13,107.6923076923077,7.0,Right-hand bat
Ishan Kishan,42,4,41,102.4390243902439,10.5,Left-hand bat
M Ashwin,0,1,1,0.0,0.0,Right-hand bat
S Vidyut,145,8,115,126.08695652173913,18.125,Left-hand bat
HH Gibbs,883,32,837,105.49581839904421,27.59375,Right-hand bat
AP Tare,321,21,260,123.46153846153847,15.285714285714286,Right-hand bat
Ankit Sharma,48,6,49,97.95918367346938,8.0,Left-hand bat
AL Menaria,401,22,367,109.26430517711172,18.227272727272727,Left-hand bat
SM Katich,241,10,191,126.17801047120419,24.1,Left-hand bat
DPMD Jayawardene,1797,63,1520,118.22368421052632,28.523809523809526,Right-hand bat
DS Kulkarni,86,8,99,86.86868686868686,10.75,Right-hand bat
Pankaj Singh,7,2,12,58.333333333333336,3.5,Right-hand bat
Shakib Al Hasan,496,24,398,124.62311557788945,20.666666666666668,Left-hand bat
HH Pandya,156,12,134,116.41791044776119,13.0,Right-hand bat
Yashpal Singh,47,4,67,70.14925373134328,11.75,Right-hand bat
KS Williamson,155,7,155,100.0,22.142857142857142,Right-hand bat
LPC Silva,40,2,27,148.14814814814815,20.0,Right-hand bat
SA Asnodkar,422,19,352,119.88636363636364,22.210526315789473,Right-hand bat
B Laughlin,4,1,9,44.44444444444444,4.0,Right-hand bat
AR Patel,378,21,323,117.02786377708978,18.0,Left-hand bat
L Ronchi,34,3,37,91.89189189189189,11.333333333333334,Right-hand bat
TM Head,53,2,42,126.19047619047619,26.5,Left-hand bat
WPUJC Vaas,81,7,73,110.95890410958904,11.571428571428571,Left-hand bat
Y Nagar,284,15,271,104.79704797047971,18.933333333333334,Right-hand bat
BR Dunk,40,3,36,111.11111111111111,13.333333333333334,Left-hand bat
R Bhatia,324,28,273,118.68131868131869,11.571428571428571,Right-hand bat
R Tewatia,16,1,13,123.07692307692308,16.0,Left-hand bat
PA Patel,1921,89,1746,110.02290950744559,21.584269662921347,Left-hand bat
DT Christian,341,17,299,114.04682274247492,20.058823529411764,Right-hand bat
CJ Jordan,3,0,4,75.0,3.0,Right-hand bat
A Ashish Reddy,279,15,196,142.3469387755102,18.6,Right-hand bat
SP Fleming,195,9,171,114.03508771929825,21.666666666666668,Left-hand bat
Harpreet Singh,20,2,26,76.92307692307692,10.0,Left-hand bat
T Taibu,30,3,26,115.38461538461539,10.0,Right-hand bat
ND Doshi,0,1,13,0.0,0.0,Right-hand bat
MA Khote,24,2,22,109.0909090909091,12.0,Right-hand bat
SMSM Senanayake,10,1,17,58.8235294117647,10.0,Right-hand bat
