id,name,role,batting_style,bowls,nationality,dob,debut,info,current_team
52,Naman Ojha,Wicketkeeper batsman,Right-handed,None,Indian,1983/07/20,2009,None,Sunrisers Hyderabad
53,Pawan Negi,Bowling All-rounder,Left-handed,Left-arm orthodox spin,Indian,1983/01/06,2012,None,Delhi Daredevils
57,Shahbaz Nadeem,Bowler,Left-handed,Left-arm orthodox spin,Indian,1989/08/12,2011,None,Delhi Daredevils
59,Umesh Yadav,Bowler,Right-handed,Right-arm medium fast,Indian,1987/10/25,2010,None,Kolkata Knight Riders
60,Unmukt Chand,Batsman,Right-handed,Right-arm off-spin,Indian,1993/03/26,2011,None,Mumbai Indians
61,Varun Aaron,Bowler,Right-handed,Right-arm fast,Indian,1989/10/29,2011,None,Royal Challengers Bangalore
69,Bipul Sharma,All-rounder,Left-handed,Left-arm orthodox spin,Indian,1983/09/28,2010,None,Sunrisers Hyderabad
72,Mandeep Singh,All-rounder,Right-handed,Right-arm medium,Indian,1991/12/18,2010,None,Royal Challengers Bangalore
74,Paras Dogra,Batsman,Right-handed,Right-arm leg spin,Indian,1984/11/19,2010,None,Gujarat Lions
76,Piyush Chawla,Bowling All-rounder,Right-handed,Right-arm leg spin,Indian,1988/12/24,2008,None,Kolkata Knight Riders
77,Praveen Kumar,Bowler,Right-handed,Right-arm medium,Indian,1986/10/02,2008,None,Gujarat Lions
78,Rajagopal Sathish,All-rounder,Right-handed,Right-arm medium,Indian,1981/01/14,2010,None,Kolkata Knight Riders
82,Vikramjeet Malik,Bowler,Right-handed,Right-arm medium,Indian,1983/05/09,2009,None,Royal Challengers Bangalore
84,Gautam Gambhir,Batsman,Left-handed,Right-arm leg spin,Indian,1981/10/14,2008,None,Kolkata Knight Riders
85,Iqbal Abdulla,Bowler,Left-handed,Left-arm orthodox spin,Indian,1989/12/02,2008,None,Royal Challengers Bangalore
86,Jaydev Unadkat,Bowler,Left-handed,Left-arm medium fast,Indian,1991/10/18,2010,None,Kolkata Knight Riders
91,Pradeep Sangwan,Bowler,Right-handed,Left-arm medium fast,Indian,1990/11/05,2008,None,Gujarat Lions
92,Rajat Bhatia,All-rounder,Right-handed,Right-arm medium fast,Indian,1979/10/22,2008,None,Rising Pune Supergiants
93,Sarabjit Ladda,Bowler,Right-handed,Right-arm leg spin,Indian,1986/07/10,2010,None,Gujarat Lions
